blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,Address,Longitude,Latitude
58,CIRCUIT RD,10,1964,Y,N,N,N,N,N,GL,116,0,0,112,4,0,0,0,0,0,0,0,0,58 CIRCUIT RD,103.886455988464,1.32501466214245
58,DAKOTA CRES,12,1984,Y,Y,N,Y,N,N,GL,174,0,0,106,66,0,2,0,0,0,0,0,0,58 DAKOTA CRES,103.889390130934,1.30730729862781
58,GEYLANG BAHRU,21,1998,Y,N,N,N,N,N,KWN,97,0,0,0,57,40,0,0,0,0,0,0,0,58 GEYLANG BAHRU,103.86795724315,1.32319537324232
58,HAVELOCK RD,38,2011,Y,N,N,N,N,N,BM,188,0,12,74,70,0,0,0,32,0,0,0,0,58 HAVELOCK RD,103.827999956886,1.29008719115666
58,JLN MA'MOR,2,1959,Y,N,N,N,N,N,KWN,7,0,0,7,0,0,0,0,0,0,0,0,0,58 JLN MA'MOR,103.857167196711,1.32836065642983
58,LENGKOK BAHRU,12,1966,Y,Y,N,N,N,N,BM,176,0,0,0,0,0,0,0,0,0,176,0,0,58 LENGKOK BAHRU,103.814274628012,1.28850641953208
58,LOR 4 TOA PAYOH,10,1966,Y,N,N,Y,N,N,TP,138,0,51,17,0,0,0,0,0,0,68,2,0,58 LOR 4 TOA PAYOH,103.850524640565,1.33674625537365
58,MARINE TER,10,1974,Y,Y,N,N,N,N,MP,110,0,0,108,0,2,0,0,0,0,0,0,0,58 MARINE TER,103.914026029355,1.30611781253448
58,NEW UPP CHANGI RD,1,2008,N,N,Y,N,N,N,BD,0,0,0,0,0,0,0,0,0,0,0,0,0,58 NEW UPP CHANGI RD,103.941125277547,1.32420087334002
58,SENG POH RD,3,1938,Y,Y,N,N,N,N,BM,11,0,0,0,8,2,1,0,0,0,0,0,0,58 SENG POH RD,103.832979536063,1.28462080421635
58,STIRLING RD,2,1959,Y,N,N,N,N,N,QT,8,0,0,8,0,0,0,0,0,0,0,0,0,58 STIRLING RD,103.804541873744,1.29619171855669
58,STRATHMORE AVE,30,1999,Y,N,N,Y,N,N,QT,123,0,0,0,94,29,0,0,0,0,0,0,0,58 STRATHMORE AVE,103.810788903719,1.29308496028867
